Instrument,Holding Name,Holding RIC,Percentage of Fund Assets,Clean_Weight
IE00B03HD191,NVIDIA CORPORATION ORD,NVDA.OQ,5.1332,5.1332
IE00B03HD191,APPLE INC. ORD,AAPL.OQ,4.7202,4.7202
IE00B03HD191,MICROSOFT CORPORATION ORD,MSFT.OQ,2.9258,2.9258
IE00B03HD191,AMAZON.COM INC ORD,AMZN.OQ,2.5639,2.5639
IE00B03HD191,ALPHABET INC CLASS A ORD,GOOGL.OQ,2.2956,2.2956
IE00B03HD191,BROADCOM INC ORD,AVGO.OQ,1.8885,1.8885
IE00B03HD191,ALPHABET INC CLASS C ORD,GOOG.OQ,1.8323,1.8323
IE00B03HD191,"MICRON TECHNOLOGY, INC. ORD",MU.OQ,1.4473,1.4473
IE00B03HD191,"META PLATFORMS, INC. ORD",META.OQ,1.376,1.376
IE00B03HD191,TESLA INC ORD,TSLA.OQ,1.316,1.316
IE00B03HD191,ELI LILLY AND COMPANY ORD,LLY.N,1.0709,1.0709
IE00B03HD191,"ADVANCED MICRO DEVICES, INC. ORD",AMD.OQ,1.0532,1.0532
IE00B03HD191,ASML HOLDING N.V. ORD,ASML.AS,0.85,0.85
IE00B03HD191,BERKSHIRE HATHAWAY INC ORD,BRKb.N,0.7737,0.7737
IE00B03HD191,JPMORGAN CHASE & CO ORD,JPM.N,0.7539,0.7539
IE00B03HD191,INTEL CORP ORD,INTC.OQ,0.6822,0.6822
IE00B03HD191,JOHNSON & JOHNSON ORD,JNJ.N,0.679,0.679
IE00B03HD191,VISA INC. ORD,V.N,0.6435,0.6435
IE00B03HD191,APPLIED MATERIALS INC ORD,AMAT.OQ,0.6392,0.6392
IE00B03HD191,EXXON MOBIL CORPORATION ORD,XOM.N,0.6325,0.6325
IE00B03HD191,LAM RESEARCH CORPORATION ORD,LRCX.OQ,0.6028,0.6028
IE00B03HD191,WALMART INC ORD,WMT.OQ,0.5518,0.5518
IE00B03HD191,CATERPILLAR INC ORD,CAT.N,0.5511,0.5511
IE00B03HD191,CISCO SYSTEMS INC ORD,CSCO.OQ,0.5164,0.5164
LU0996182563,NVIDIA CORPORATION ORD,NVDA.OQ,5.1759,5.1759
LU0996182563,APPLE INC. ORD,AAPL.OQ,5.0652,5.0652
LU0996182563,MICROSOFT CORPORATION ORD,MSFT.OQ,3.6614,3.6614
LU0996182563,AMAZON.COM INC ORD,AMZN.OQ,2.9358,2.9358
LU0996182563,ALPHABET INC CLASS A ORD,GOOGL.OQ,2.3157,2.3157
LU0996182563,BROADCOM INC ORD,AVGO.OQ,1.9556,1.9556
LU0996182563,ALPHABET INC CLASS C ORD,GOOG.OQ,1.8412,1.8412
LU0996182563,"META PLATFORMS, INC. ORD",META.OQ,1.3579,1.3579
LU0996182563,JPMORGAN CHASE & CO ORD,JPM.N,1.0612,1.0612
LU0996182563,"MICRON TECHNOLOGY, INC. ORD",MU.OQ,1.0383,1.0383
LU0996182563,ELI LILLY AND COMPANY ORD,LLY.N,1.0301,1.0301
LU0996182563,TESLA INC ORD,TSLA.OQ,0.9828,0.9828
LU0996182563,"ADVANCED MICRO DEVICES, INC. ORD",AMD.OQ,0.8701,0.8701
LU0996182563,BERKSHIRE HATHAWAY INC ORD,BRKb.N,0.795,0.795
LU0996182563,EXXON MOBIL CORPORATION ORD,XOM.N,0.7262,0.7262
LU0996182563,ASML HOLDING N.V. ORD,ASML.AS,0.7089,0.7089
LU0996182563,JOHNSON & JOHNSON ORD,JNJ.N,0.6933,0.6933
LU0996182563,VISA INC. ORD,V.N,0.683,0.683
LU0996182563,WALMART INC ORD,WMT.OQ,0.5446,0.5446
LU0996182563,MASTERCARD INCORPORATED ORD,MA.N,0.526,0.526
LU0996182563,CISCO SYSTEMS INC ORD,CSCO.OQ,0.5116,0.5116
LU0996182563,ABBVIE INC. ORD,ABBV.N,0.4975,0.4975
LU0996182563,BANK OF AMERICA CORPORATION ORD,BAC.N,0.4746,0.4746
LU0996182563,COSTCO WHOLESALE CORP ORD,COST.OQ,0.4709,0.4709
LU0996182563,APPLIED MATERIALS INC ORD,AMAT.OQ,0.4499,0.4499
LU0690375182,ALPHABET INC CLASS A ORD,GOOGL.OQ,6.9616,6.9616
LU0690375182,"MARRIOTT INTERNATIONAL, INC. ORD",MAR.OQ,6.5092,6.5092
LU0690375182,STRYKER CORPORATION ORD,SYK.N,5.8077,5.8077
LU0690375182,VISA INC. ORD,V.N,5.4105,5.4105
LU0690375182,L'OREAL SA ORD,OREP.PA,5.405,5.405
LU0690375182,"META PLATFORMS, INC. ORD",META.OQ,4.7539,4.7539
LU0690375182,WATERS CORP ORD,WAT.N,4.6763,4.6763
LU0690375182,PHILIP MORRIS INTERNATIONAL INC ORD,PM.N,4.652,4.652
LU0690375182,MICROSOFT CORPORATION ORD,MSFT.OQ,4.6399,4.6399
LU0690375182,AUTOMATIC DATA PROCESSING INC ORD,ADP.OQ,4.6268,4.6268
LU0690375182,"IDEXX LABORATORIES, INC. ORD",IDXX.OQ,4.5215,4.5215
LU0690375182,METTLER-TOLEDO INTERNATIONAL INC. ORD,MTD.N,4.4774,4.4774
LU0690375182,THE PROCTER & GAMBLE COMPANY ORD,PG.N,4.349,4.349
LU0690375182,CHURCH & DWIGHT CO INC ORD,CHD.N,4.2017,4.2017
LU0690375182,LVMH MOET HENNESSY LOUIS VUITTON SE ORD,LVMH.PA,4.153,4.153
LU0690375182,TEXAS INSTRUMENTS INC ORD,TXN.OQ,3.1832,3.1832
LU0690375182,"AMADEUS IT GROUP, S.A. ORD",AMA.MC,2.6768,2.6768
LU0690375182,NOVO NORDISK A/S ORD,NOVOb.CO,2.4171,2.4171
LU0690375182,ATLAS COPCO AB ORD,ATCOa.ST,2.3999,2.3999
LU0690375182,"FORTINET, INC. ORD",FTNT.OQ,2.3486,2.3486
LU0690375182,ZOETIS INC ORD,ZTS.N,2.1428,2.1428
LU0690375182,THE SAGE GROUP PLC ORD,SGE.L,2.1202,2.1202
LU0690375182,COLOPLAST A/S ORD,COLOb.CO,1.5275,1.5275
LU0690375182,OTIS WORLDWIDE CORPORATION ORD,OTIS.N,1.2794,1.2794
IE0031786142,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED ORD,2330.TW,14.9671,14.9671
IE0031786142,SAMSUNG ELECTRONICS CO LTD ORD,005930.KS,8.0986,8.0986
IE0031786142,SK HYNIX INC. ORD,000660.KS,7.5871,7.5871
IE0031786142,TENCENT HOLDINGS LIMITED ORD,0700.HK,2.7153,2.7153
IE0031786142,ALIBABA GROUP HOLDING LIMITED ORD,9988.HK,1.5933,1.5933
IE0031786142,MEDIATEK INC. ORD,2454.TW,1.5463,1.5463
IE0031786142,"DELTA ELECTRONICS, INC. ORD",2308.TW,0.9572,0.9572
IE0031786142,SAMSUNG ELECTRONICS CO LTD,005935.KS,0.8794,0.8794
IE0031786142,"SK SQUARE CO., LTD. ORD",402340.KS,0.8121,0.8121
IE0031786142,"HON HAI PRECISION INDUSTRY CO., LTD. ORD",2317.TW,0.7769,0.7769
IE0031786142,HDFC BANK LIMITED ORD,HDBK.NS,0.7652,0.7652
IE0031786142,CHINA CONSTRUCTION BANK CORP ORD,0939.HK,0.7029,0.7029
IE0031786142,RELIANCE INDUSTRIES LTD ORD,RELI.NS,0.6646,0.6646
IE0031786142,SAMSUNG ELECTRO-MECHANICS CO LTD ORD,009150.KS,0.6337,0.6337
IE0031786142,ICICI BANK LIMITED ORD,ICBK.NS,0.613,0.613
IE0031786142,"ASE TECHNOLOGY HOLDING CO., LTD. ORD",3711.TW,0.5711,0.5711
IE0031786142,UNITED MICROELECTRONICS CORP ORD,2303.TW,0.4687,0.4687
IE0031786142,YAGEO CORPORATION ORD,2327.TW,0.4496,0.4496
IE0031786142,VALE S.A. ORD,VALE3.SA,0.4308,0.4308
IE0031786142,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD ORD,1398.HK,0.4244,0.4244
IE0031786142,BHARTI AIRTEL LTD ORD,BRTI.NS,0.4233,0.4233
IE0031786142,AL RAJHI BANKING AND INVESTMENT CORPORATION ORD,1120.SE,0.4135,0.4135
IE0031786142,"ELITE MATERIAL CO., LTD. ORD",2383.TW,0.3909,0.3909
IE0031786142,NU HOLDINGS LTD. ORD,NU.N,0.3889,0.3889
IE0031786696,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED ORD,2330.TW,14.9671,14.9671
IE0031786696,SAMSUNG ELECTRONICS CO LTD ORD,005930.KS,8.0986,8.0986
IE0031786696,SK HYNIX INC. ORD,000660.KS,7.5871,7.5871
IE0031786696,TENCENT HOLDINGS LIMITED ORD,0700.HK,2.7153,2.7153
IE0031786696,ALIBABA GROUP HOLDING LIMITED ORD,9988.HK,1.5933,1.5933
IE0031786696,MEDIATEK INC. ORD,2454.TW,1.5463,1.5463
IE0031786696,"DELTA ELECTRONICS, INC. ORD",2308.TW,0.9572,0.9572
IE0031786696,SAMSUNG ELECTRONICS CO LTD,005935.KS,0.8794,0.8794
IE0031786696,"SK SQUARE CO., LTD. ORD",402340.KS,0.8121,0.8121
IE0031786696,"HON HAI PRECISION INDUSTRY CO., LTD. ORD",2317.TW,0.7769,0.7769
IE0031786696,HDFC BANK LIMITED ORD,HDBK.NS,0.7652,0.7652
IE0031786696,CHINA CONSTRUCTION BANK CORP ORD,0939.HK,0.7029,0.7029
IE0031786696,RELIANCE INDUSTRIES LTD ORD,RELI.NS,0.6646,0.6646
IE0031786696,SAMSUNG ELECTRO-MECHANICS CO LTD ORD,009150.KS,0.6337,0.6337
IE0031786696,ICICI BANK LIMITED ORD,ICBK.NS,0.613,0.613
IE0031786696,"ASE TECHNOLOGY HOLDING CO., LTD. ORD",3711.TW,0.5711,0.5711
IE0031786696,UNITED MICROELECTRONICS CORP ORD,2303.TW,0.4687,0.4687
IE0031786696,YAGEO CORPORATION ORD,2327.TW,0.4496,0.4496
IE0031786696,VALE S.A. ORD,VALE3.SA,0.4308,0.4308
IE0031786696,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD ORD,1398.HK,0.4244,0.4244
IE0031786696,BHARTI AIRTEL LTD ORD,BRTI.NS,0.4233,0.4233
IE0031786696,AL RAJHI BANKING AND INVESTMENT CORPORATION ORD,1120.SE,0.4135,0.4135
IE0031786696,"ELITE MATERIAL CO., LTD. ORD",2383.TW,0.3909,0.3909
IE0031786696,NU HOLDINGS LTD. ORD,NU.N,0.3889,0.3889
LU0389811885,ASML HOLDING N.V. ORD,ASML.AS,4.482,4.482
LU0389811885,HSBC HOLDINGS PLC ORD,HSBA.L,2.5503,2.5503
LU0389811885,ROCHE HOLDING AG,ROPC.S,2.1487,2.1487
LU0389811885,NOVARTIS AG ORD,NOVN.S,2.0053,2.0053
LU0389811885,NESTLE SA ORD,NESN.S,1.8053,1.8053
LU0389811885,ASTRAZENECA PLC ORD,AZN.L,1.7989,1.7989
LU0389811885,SHELL PLC ORD,SHEL.L,1.7894,1.7894
LU0389811885,SIEMENS AG ORD,SIEGn.DE,1.6906,1.6906
LU0389811885,BANCO SANTANDER S.A. ORD,SAN.MC,1.4204,1.4204
LU0389811885,SAP SE ORD,SAPG.DE,1.3257,1.3257
LU0389811885,ALLIANZ SE ORD,ALVG.DE,1.3247,1.3247
LU0389811885,SCHNEIDER ELECTRIC SE ORD,SCHN.PA,1.2784,1.2784
LU0389811885,TOTALENERGIES SE ORD,TTEF.PA,1.2118,1.2118
LU0389811885,UBS GROUP AG ORD,UBSG.S,1.1683,1.1683
LU0389811885,ROLLS-ROYCE HOLDINGS PLC ORD,RR.L,1.1609,1.1609
LU0389811885,BANCO BILBAO VIZCAYA ARGENTARIA SA ORD,BBVA.MC,1.0977,1.0977
LU0389811885,ABB LTD ORD,ABBN.S,1.078,1.078
LU0389811885,NOVO NORDISK A/S ORD,NOVOb.CO,1.0632,1.0632
LU0389811885,"IBERDROLA, S.A. ORD",IBE.MC,1.0314,1.0314
LU0389811885,UNILEVER PLC ORD,ULVR.L,0.9759,0.9759
LU0389811885,AIRBUS SE ORD,AIR.PA,0.9674,0.9674
LU0389811885,LVMH MOET HENNESSY LOUIS VUITTON SE ORD,LVMH.PA,0.952,0.952
LU0389811885,SAFRAN SA ORD,SAF.PA,0.9403,0.9403
LU0389811885,SIEMENS ENERGY AG ORD,ENR1n.DE,0.92,0.92
LU0389811885,UNICREDIT SPA ORD,CRDI.MI,0.8917,0.8917
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.625% 15-FEB-2035,91282CMM0=,0.3961,0.3961
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.25% 15-NOV-2034,91282CLW9=,0.385,0.385
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.25% 15-MAY-2035,91282CNC1=,0.3786,0.3786
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.125% 15-FEB-2036,91282CPZ8=,0.3758,0.3758
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.25% 15-AUG-2035,91282CNT4=,0.3681,0.3681
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.375% 15-MAY-2034,91282CKQ3=,0.3665,0.3665
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4% 15-NOV-2035,91282CPJ4=,0.3637,0.3637
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.375% 15-MAY-2036,91282CQQ7=,0.3633,0.3633
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 1.625% 15-MAY-2031,91282CCB5=,0.3592,0.3592
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 3.875% 15-AUG-2034,91282CLF6=,0.3469,0.3469
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 1.875% 15-FEB-2032,91282CDY4=,0.3464,0.3464
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 1.375% 15-NOV-2031,91282CDJ7=,0.3432,0.3432
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 2.875% 15-MAY-2032,91282CEP2=,0.3374,0.3374
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 1.125% 15-FEB-2031,91282CBL4=,0.3356,0.3356
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 1.25% 15-AUG-2031,91282CCS8=,0.3355,0.3355
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 3.5% 31-JAN-2028,91282CGH8=,0.3338,0.3338
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4% 28-FEB-2030,91282CGQ8=,0.3322,0.3322
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4% 15-FEB-2034,91282CJZ5=,0.3311,0.3311
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) .625% 15-AUG-2030,91282CAE1=,0.3283,0.3283
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 3.875% 15-AUG-2033,91282CHT1=,0.3239,0.3239
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) .875% 15-NOV-2030,91282CAV3=,0.3232,0.3232
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.5% 15-NOV-2033,91282CJJ1=,0.3192,0.3192
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 4.125% 15-NOV-2032,91282CFV8=,0.3045,0.3045
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 2.75% 15-AUG-2032,91282CFF3=,0.2985,0.2985
LU0389812693,UNITED STATES OF AMERICA (GOVERNMENT) 3.5% 15-FEB-2033,91282CGM7=,0.296,0.296
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4.625% 15-FEB-2035,91282CMM0=,0.3961,0.3961
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4.25% 15-NOV-2034,91282CLW9=,0.385,0.385
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4.25% 15-MAY-2035,91282CNC1=,0.3786,0.3786
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4.125% 15-FEB-2036,91282CPZ8=,0.3758,0.3758
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4.25% 15-AUG-2035,91282CNT4=,0.3681,0.3681
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4.375% 15-MAY-2034,91282CKQ3=,0.3665,0.3665
LU0389812933,UNITED STATES OF AMERICA (GOVERNMENT) 4% 15-NOV-2035,91282CPJ4=,0.3637,0.3637
