Instrument,Fund Name,ISIN,RIC
IE00B03HD191,Vanguard Global Stock Index EUR Acc,IE00B03HD191,LP60078536
LU0996182563,Amundi Index MSCI World - AE (C),LU0996182563,LP68257931
LU0690375182,Fundsmith SICAV-Fundsmith Equity EUR T Acc,LU0690375182,LP68227672
IE0031786142,Vanguard Emerging Markets Stock Index EUR Inv,IE0031786142,LP65022009
IE0031786696,Vanguard Emerging Markets Stock Index EUR Acc,IE0031786696,LP68250801
LU0389811885,Amundi Core MSCI Europe AE Acc,LU0389811885,LP65136730
LU0389812693,Amundi Core Global Gov Bond IHE Acc,LU0389812693,LP65136724
LU0389812933,Amundi Core Global Gov Bond AHE Acc,LU0389812933,LP65136725
IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,IWDA.L
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,CSPX.L
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF USD Acc,IE00BK5BQT80,VWCE.DE
IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF USD Dis,IE00B3RBWM25,VWRL.L
LU1681043599,Amundi MSCI World Swap UCITS ETF EUR Acc,LU1681043599,CW8.PA
LU1681045370,Amundi MSCI Em Mkts Swap UCITS ETF EUR Acc,LU1681045370,AEEM.PA
LU0996177134,Amundi Core MSCI Em Mkts AE Acc,LU0996177134,LP68263211
LU0996179007,Amundi S&P 500 Screened INDEX AE Acc,LU0996179007,LP68260316
IE00B0M62Q58,iShares MSCI World UCITS ETF USD (Dist),IE00B0M62Q58,IWRD.L
IE00B0M62V02,iShares Euro Total Mrkt Grwth Lrg UCITS ETF EUR D,IE00B0M62V02,IQQG.DE
IE00B14X4T88,iShares Asia Pacific Dividend UCITS ETF USD (Dist),IE00B14X4T88,IAPD.L
IE00B1XNHC34,iShares Global Clean Energy Trnstn UCITS ETF USD D,IE00B1XNHC34,INRG.L
LU0119620416,MS INVF Global Brands Fund A USD Acc,LU0119620416,LP60053353
LU0052864419,Invesco Global Consumer Trends A USD Acc,LU0052864419,LP60003168
LU0552385295,MS INVF Global Opportunity Fund A USD Acc,LU0552385295,LP68080080
LU0823421689,BNP Paribas Disruptive Technology Clsc Cap,LU0823421689,LP60023860
LU0329592538,BGF Global Allocation Fund D2 USD,LU0329592538,LP65107172
LU0210534227,JPM Global Focus A Acc EUR,LU0210534227,LP60101512
LU0099841511,JB Strategy Balanced-EUR A,LU0099841511,LP60034471^D23
LU0251128657,Fidelity Funds - Europe Equity ESG A-ACC-EUR,LU0251128657,LP65033236
