Instrument,Date,NAV
IE00B03HD191,2023-01-02,34.332
IE00B03HD191,2023-01-03,34.6896
IE00B03HD191,2023-01-04,34.8472
IE00B03HD191,2023-01-05,34.7316
IE00B03HD191,2023-01-06,35.1918
IE00B03HD191,2023-01-09,34.9168
IE00B03HD191,2023-01-10,35.0657
IE00B03HD191,2023-01-11,35.371
IE00B03HD191,2023-01-12,35.4471
IE00B03HD191,2023-01-13,35.579
IE00B03HD191,2023-01-16,35.594
IE00B03HD191,2023-01-17,35.6802
IE00B03HD191,2023-01-18,35.2838
IE00B03HD191,2023-01-19,35.0544
IE00B03HD191,2023-01-20,35.441
IE00B03HD191,2023-01-23,35.7149
IE00B03HD191,2023-01-24,35.694
IE00B03HD191,2023-01-25,35.6159
IE00B03HD191,2023-01-26,36.0471
IE00B03HD191,2023-01-27,36.1997
IE00B03HD191,2023-01-30,35.7582
IE00B03HD191,2023-01-31,36.1237
IE00B03HD191,2023-02-01,36.2444
IE00B03HD191,2023-02-02,36.6703
IE00B03HD191,2023-02-03,36.6002
IE00B03HD191,2023-02-06,36.6743
IE00B03HD191,2023-02-07,37.1627
IE00B03HD191,2023-02-08,36.8095
IE00B03HD191,2023-02-09,36.5349
IE00B03HD191,2023-02-10,36.7449
IE00B03HD191,2023-02-13,36.9432
IE00B03HD191,2023-02-14,36.9826
IE00B03HD191,2023-02-15,37.173
IE00B03HD191,2023-02-16,36.8607
IE00B03HD191,2023-02-17,36.7548
IE00B03HD191,2023-02-20,36.7169
IE00B03HD191,2023-02-21,36.1654
IE00B03HD191,2023-02-22,36.2259
IE00B03HD191,2023-02-23,36.4299
IE00B03HD191,2023-02-24,36.2304
IE00B03HD191,2023-02-27,36.2074
IE00B03HD191,2023-02-28,36.1035
IE00B03HD191,2023-03-01,35.7952
IE00B03HD191,2023-03-02,36.1787
IE00B03HD191,2023-03-03,36.7199
IE00B03HD191,2023-03-06,36.5291
IE00B03HD191,2023-03-07,36.3208
IE00B03HD191,2023-03-08,36.445
IE00B03HD191,2023-03-09,35.9461
IE00B03HD191,2023-03-10,35.0994
IE00B03HD191,2023-03-13,34.7749
IE00B03HD191,2023-03-14,35.2122
IE00B03HD191,2023-03-15,35.3629
IE00B03HD191,2023-03-16,35.6124
IE00B03HD191,2023-03-17,35.2401
IE00B03HD191,2023-03-20,35.2816
IE00B03HD191,2023-03-21,35.5622
IE00B03HD191,2023-03-22,35.1599
IE00B03HD191,2023-03-23,35.0023
IE00B03HD191,2023-03-24,35.3456
IE00B03HD191,2023-03-27,35.4133
IE00B03HD191,2023-03-28,35.271
IE00B03HD191,2023-03-29,35.736
IE00B03HD191,2023-03-30,35.7553
IE00B03HD191,2023-03-31,36.3504
IE00B03HD191,2023-04-03,36.4315
IE00B03HD191,2023-04-04,36.0575
IE00B03HD191,2023-04-05,36.0892
IE00B03HD191,2023-04-06,36.1351
IE00B03HD191,2023-04-07,36.1351
IE00B03HD191,2023-04-10,36.3649
IE00B03HD191,2023-04-11,36.2621
IE00B03HD191,2023-04-12,36.0292
IE00B03HD191,2023-04-13,36.2365
IE00B03HD191,2023-04-14,36.3252
IE00B03HD191,2023-04-17,36.6488
IE00B03HD191,2023-04-18,36.6066
IE00B03HD191,2023-04-19,36.5875
IE00B03HD191,2023-04-20,36.3829
IE00B03HD191,2023-04-21,36.407
IE00B03HD191,2023-04-24,36.2801
IE00B03HD191,2023-04-25,35.9762
IE00B03HD191,2023-04-26,35.6383
IE00B03HD191,2023-04-27,36.2125
IE00B03HD191,2023-04-28,36.3824
