,AMUNDI EURO LIQUIDITY-RATED RESPONSIBLE - I (C),AXA WF Switzerland Equity A Cap CHF,Allianz Oriental Income A (USD),Allianz Thailand Equity A-EUR,Amundi Core Global Gov Bond AHE Acc,Amundi Core Global Gov Bond IHE Acc,Amundi Core MSCI Em Mkts AE Acc,Amundi Core MSCI Europe AE Acc,Amundi Index MSCI World - AE (C),Amundi MSCI Em Mkts Swap UCITS ETF EUR Acc,Amundi MSCI World Swap UCITS ETF EUR Acc,Amundi S&P 500 Screened INDEX AE Acc,"AzValor Iberia, FI","Azvalor Internacional, FI",BGF Euro Bond Fund D2 EUR,BGF Euro Short Duration Bond E2 EUR,BGF Euro-Markets A2 EUR,BGF Global Allocation Fund A2 EUR,BGF Global Allocation Fund D2 USD,BGF Global Long-Horizon Equity A2 EUR,BGF World Gold A2 EUR,BGF World Healthscience Fund A2 EUR,BGF World Technology Fund A2 EUR,BNP Paribas Disruptive Technology Clsc Cap,BSF BlackRock ESG Fixed Income Strategies D2 EUR,CT (Lux) Asian Equity Income AU USD,CT (Lux) Pan European Eqs AE EUR,Fidelity Funds - China Focus Y-ACC-USD,Fidelity Funds - Emerging Markets A-ACC-USD,Fidelity Funds - Euro Bond A-EUR,Fidelity Funds - Europe Equity ESG A-ACC-EUR,Fidelity Funds - European Growth A-EUR,Fidelity Funds - Global Technology Y-ACC-EUR,Fundsmith SICAV-Fundsmith Equity EUR T Acc,Groupama Tresorerie IC,HSBC GIF - Euroland Equity Smaller Cos AC,HSBC GIF - Euroland Equity Smaller Cos IC,HSBC GIF - Euroland Value AC,HSBC GIF - Euroland Value AD,HSBC GIF Global Equity Climate Solutions EC,Invesco Global Consumer Trends A USD Acc,Invesco Pan European Equity A EUR Acc,JB Strategy Balanced-EUR A,JPM Emerging Europe Equity A Dis EUR SUSP,JPM Emerging Middle East Equity A Dist USD,JPM Global Focus A Acc EUR,Jupiter European Select L EUR Acc,MS INVF Global Brands Fund A USD Acc,MS INVF Global Brands Fund I USD Acc,MS INVF Global Opportunity Fund A USD Acc,Pictet-Euroland Index-P EUR,Pictet-Indian Equities-P EUR,Pictet-Short-Term Money Market EUR-P,Pictet-Short-Term Money Market USD-P,Pictet-Timber-P EUR,Robeco Global Consumer Trends D EUR,RobecoSAM Sustainable Global Equities EUR B,Schroder ISF EURO Bond A Acc EUR,Schroder ISF Emerging Asia A Acc EUR,Vanguard Emerging Markets Stock Index EUR Acc,Vanguard Emerging Markets Stock Index EUR Inv,Vanguard FTSE All-World UCITS ETF USD Acc,Vanguard FTSE All-World UCITS ETF USD Dis,Vanguard Global Stock Index EUR Acc,iShares Asia Pacific Dividend UCITS ETF USD (Dist),iShares Core MSCI World UCITS ETF USD (Acc),iShares Core S&P 500 UCITS ETF USD (Acc),iShares Euro Total Mrkt Grwth Lrg UCITS ETF EUR D,iShares Global Clean Energy Trnstn UCITS ETF USD D,iShares MSCI AC Far East ex-Jpn UCITS ETF USD D,iShares MSCI EM UCITS ETF USD (Dist),iShares MSCI World UCITS ETF USD (Dist),iShares € Corp Bond 1-5 yr UCITS ETF EUR (Dist),iShares € Govt Bond 1-3yr UCITS ETF EUR Dist
AMUNDI EURO LIQUIDITY-RATED RESPONSIBLE - I (C),6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXA WF Switzerland Equity A Cap CHF,0.0,84.75,0.0,0.0,0.0,0.0,0.0,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21,0.0,0.0,0.0,0.0,12.93,0.0,0.0,0.0,6.67,6.39,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz Oriental Income A (USD),0.0,0.0,64.87,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,7.6,0.0,0.0,7.53,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,6.79,6.79,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,7.36,6.41,0.0,0.0,0.0
Allianz Thailand Equity A-EUR,0.0,0.0,0.0,87.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amundi Core Global Gov Bond AHE Acc,0.0,0.0,0.0,0.0,8.59,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amundi Core Global Gov Bond IHE Acc,0.0,0.0,0.0,0.0,8.59,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amundi Core MSCI Em Mkts AE Acc,0.0,0.0,5.98,0.0,0.0,0.0,45.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,9.27,0.46,0.0,11.32,0.0,0.0,21.77,0.0,6.2,23.16,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.43,0.0,0.0,4.12,4.12,16.38,0.0,1.78,0.0,0.0,0.0,9.54,0.0,0.0,31.8,42.3,42.3,3.62,3.62,0.0,0.0,0.0,0.0,0.0,0.0,40.94,42.55,0.0,0.0,0.0
Amundi Core MSCI Europe AE Acc,0.0,8.21,0.0,0.0,0.0,0.0,0.0,37.08,0.71,1.21,11.33,0.0,0.0,0.0,0.0,0.0,13.33,1.08,1.08,1.8,0.0,7.02,0.0,3.63,0.0,0.0,21.41,0.0,0.0,0.0,12.32,15.11,4.8,2.02,0.0,0.0,0.0,7.57,7.57,2.2,0.0,13.6,0.0,0.0,0.0,6.21,7.38,1.33,1.33,5.76,19.53,0.0,0.0,0.0,0.0,1.8,3.89,0.0,0.0,0.0,0.0,0.73,0.73,0.85,0.0,0.71,0.0,13.59,0.0,0.0,0.0,0.71,0.0,0.0
Amundi Index MSCI World - AE (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,36.37,26.08,8.26,19.22,0.0,0.0,0.0,0.0,0.71,18.42,18.42,20.57,0.0,2.22,21.03,20.53,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.71,16.04,8.02,0.0,0.0,0.0,0.0,0.0,8.3,4.96,0.71,0.0,0.0,0.0,23.38,0.71,9.58,9.58,6.06,0.71,0.0,0.0,0.0,0.0,17.79,2.78,0.0,0.0,0.0,0.0,28.24,28.24,32.34,0.0,35.06,35.21,0.71,0.0,0.0,0.0,35.08,0.0,0.0
Amundi MSCI Em Mkts Swap UCITS ETF EUR Acc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,26.08,65.31,10.99,20.63,0.0,0.0,0.0,0.0,2.85,16.56,16.56,24.26,0.0,0.0,27.51,24.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,17.03,6.96,0.0,0.0,0.0,4.91,4.91,8.38,13.98,3.54,0.0,0.0,0.0,24.21,0.0,8.14,8.14,4.53,2.26,0.0,0.0,0.0,0.0,21.36,1.95,0.0,0.0,0.0,0.0,24.08,24.08,27.1,0.0,26.03,34.0,0.0,0.0,0.0,0.0,26.05,0.0,0.0
Amundi MSCI World Swap UCITS ETF EUR Acc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,8.26,10.99,78.88,3.15,0.0,0.0,0.0,0.0,21.08,7.81,7.81,8.05,0.0,1.17,6.2,12.73,0.0,0.0,16.36,0.0,0.0,0.0,14.89,9.38,7.89,5.08,0.0,1.21,1.21,12.22,12.22,8.49,0.0,8.61,0.0,0.0,0.0,10.59,4.15,1.39,1.39,8.06,19.14,0.0,0.0,0.0,0.0,5.78,0.0,0.0,0.0,0.0,0.0,8.11,8.11,8.42,0.0,8.28,8.09,22.39,0.0,0.0,0.0,8.28,0.0,0.0
Amundi S&P 500 Screened INDEX AE Acc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22,20.63,3.15,54.9,0.0,0.0,0.0,0.0,0.0,11.15,11.15,15.16,0.0,5.16,18.22,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,11.12,0.0,0.0,0.0,0.0,0.0,6.34,2.67,0.0,0.0,0.0,0.0,21.04,0.0,13.41,13.41,2.73,0.0,0.0,0.0,0.0,0.0,19.12,2.78,0.0,0.0,0.0,0.0,15.54,15.54,18.89,0.0,19.05,27.78,0.0,0.0,0.0,0.0,19.07,0.0,0.0
"AzValor Iberia, FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
