Fons,Retorn Total (%),CAGR Anualitzat (%),Volatilitat (%),Sharpe Ratio,Max Drawdown (%)
"Azvalor Internacional, FI",2.63,10.74,11.7,0.66,-8.33
"AzValor Iberia, FI",8.52,37.88,15.89,2.19,-8.57
Groupama Tresorerie IC,0.57,2.26,0.26,-2.8,-0.12
AMUNDI EURO LIQUIDITY-RATED RESPONSIBLE - I (C),0.61,2.4,0.09,-6.86,0.0
Carmignac Securite AW EUR Acc,0.28,1.1,2.08,-0.92,-1.96
Carmignac Absolute Return Europe A EUR Acc,-2.32,-8.82,3.66,-3.23,-3.4
Vanguard Emerging Markets Stock Index EUR Inv,1.61,6.48,13.83,0.25,-8.97
Vanguard Emerging Markets Stock Index EUR Acc,1.61,6.48,13.83,0.25,-8.97
Vanguard Global Stock Index EUR Acc,5.12,21.66,13.41,1.39,-6.45
iShares MSCI World UCITS ETF USD (Dist),7.14,31.1,13.58,2.07,-7.17
iShares Euro Total Mrkt Grwth Lrg UCITS ETF EUR D,15.27,74.72,18.76,3.82,-5.46
iShares MSCI EM UCITS ETF USD (Dist),3.36,13.84,14.7,0.74,-10.57
iShares MSCI AC Far East ex-Jpn UCITS ETF USD D,5.46,23.2,18.6,1.09,-11.35
iShares € Govt Bond 1-3yr UCITS ETF EUR Dist,1.04,4.16,2.57,0.45,-1.06
iShares Asia Pacific Dividend UCITS ETF USD (Dist),2.06,8.36,15.41,0.35,-10.01
iShares Global Clean Energy Trnstn UCITS ETF USD D,-3.45,-12.89,21.65,-0.73,-14.12
Vanguard FTSE All-World UCITS ETF USD Dis,6.55,28.28,12.39,2.04,-7.34
iShares Core MSCI World UCITS ETF USD (Acc),7.48,32.74,13.66,2.18,-7.12
iShares € Corp Bond 1-5 yr UCITS ETF EUR (Dist),1.22,4.87,3.74,0.5,-1.98
iShares Core S&P 500 UCITS ETF USD (Acc),6.94,30.14,16.25,1.67,-7.6
Vanguard FTSE All-World UCITS ETF USD Acc,6.98,30.32,12.51,2.18,-7.34
Invesco Pan European Equity A EUR Acc,8.62,38.35,15.67,2.26,-7.35
Fidelity Funds - European Growth A-EUR,6.09,26.13,13.33,1.74,-6.02
Fidelity Funds - Euro Bond A-EUR,2.02,8.15,10.55,0.49,-5.47
JPM Emerging Europe Equity A Dis EUR SUSP,0.0,0.0,0.0,0.0,0.0
Invesco Global Consumer Trends A USD Acc,14.67,71.19,23.85,2.86,-14.33
CT (Lux) Pan European Eqs AE EUR,8.58,38.18,15.41,2.28,-6.38
CT (Lux) Asian Equity Income AU USD,2.66,10.85,17.77,0.44,-10.3
JPM Emerging Middle East Equity A Dist USD,2.95,12.08,10.1,0.9,-6.18
AXA WF Switzerland Equity A Cap CHF,7.82,34.42,13.95,2.25,-6.46
BGF Euro-Markets A2 EUR,10.03,45.54,18.8,2.26,-6.48
BGF Euro Short Duration Bond E2 EUR,1.29,5.15,2.77,0.78,-1.27
JB Strategy Balanced-EUR A,3.3,13.61,5.72,1.85,-3.5
Schroder ISF EURO Bond A Acc EUR,1.93,7.78,7.74,0.62,-4.49
MS INVF Global Brands Fund I USD Acc,6.72,29.11,15.62,1.67,-6.49
MS INVF Global Brands Fund A USD Acc,6.48,27.94,15.61,1.6,-6.59
Pictet-Short-Term Money Market EUR-P,0.55,2.18,0.08,-9.88,-0.01
Pictet-Short-Term Money Market USD-P,1.2,4.78,0.17,10.4,0.0
HSBC GIF - Euroland Equity Smaller Cos AC,0.76,3.02,16.55,0.0,-9.15
HSBC GIF - Euroland Equity Smaller Cos IC,0.98,3.9,16.56,0.05,-9.06
HSBC GIF - Euroland Value AC,5.36,22.78,16.16,1.22,-9.07
HSBC GIF - Euroland Value AD,5.36,22.77,16.16,1.22,-9.07
BGF Global Allocation Fund A2 EUR,1.71,6.89,7.36,0.53,-3.66
BGF Global Long-Horizon Equity A2 EUR,0.94,3.73,16.36,0.04,-9.43
